frame_number,loss
3.740000000000000000e+02,6.742249825038015842e-04
3.750000000000000000e+02,6.742044934071600437e-04
3.760000000000000000e+02,6.742982659488916397e-04
3.770000000000000000e+02,8.868307922966778278e-04
3.780000000000000000e+02,8.921078406274318695e-04
3.790000000000000000e+02,8.731544367037713528e-04
3.800000000000000000e+02,8.732529822736978531e-04
3.810000000000000000e+02,8.955554221756756306e-04
3.820000000000000000e+02,9.007401531562209129e-04
3.830000000000000000e+02,8.945051813498139381e-04
3.840000000000000000e+02,8.888693992048501968e-04
3.850000000000000000e+02,8.978429832495748997e-04
3.860000000000000000e+02,8.964504813775420189e-04
3.870000000000000000e+02,9.047230123542249203e-04
3.880000000000000000e+02,9.125298238359391689e-04
3.890000000000000000e+02,9.276423370465636253e-04
3.900000000000000000e+02,9.015713585540652275e-04
3.910000000000000000e+02,8.914421196095645428e-04
3.920000000000000000e+02,8.914632489904761314e-04
3.930000000000000000e+02,8.847431163303554058e-04
3.940000000000000000e+02,8.833256433717906475e-04
3.950000000000000000e+02,8.854985935613512993e-04
3.960000000000000000e+02,9.016241529025137424e-04
3.970000000000000000e+02,8.982022409327328205e-04
3.980000000000000000e+02,8.997558616101741791e-04
3.990000000000000000e+02,9.027618798427283764e-04
4.000000000000000000e+02,9.096508729271590710e-04
4.010000000000000000e+02,9.123929194174706936e-04
4.020000000000000000e+02,9.068334475159645081e-04
4.030000000000000000e+02,9.154353756457567215e-04
4.040000000000000000e+02,9.170715347863733768e-04
4.050000000000000000e+02,9.288919391110539436e-04
4.060000000000000000e+02,9.175797458738088608e-04
4.070000000000000000e+02,9.188306285068392754e-04
4.080000000000000000e+02,9.021427249535918236e-04
4.090000000000000000e+02,8.910099859349429607e-04
4.100000000000000000e+02,8.865657146088778973e-04
4.110000000000000000e+02,8.854528423398733139e-04
4.120000000000000000e+02,8.970886701717972755e-04
4.130000000000000000e+02,8.932686760090291500e-04
4.140000000000000000e+02,8.973134099505841732e-04
4.150000000000000000e+02,8.807011763565242290e-04
4.160000000000000000e+02,8.813155582174658775e-04
4.170000000000000000e+02,8.879309170879423618e-04
4.180000000000000000e+02,8.924812427721917629e-04
4.190000000000000000e+02,8.939907420426607132e-04
4.200000000000000000e+02,8.896757499314844608e-04
4.210000000000000000e+02,8.988882182165980339e-04
4.220000000000000000e+02,8.959861006587743759e-04
4.230000000000000000e+02,8.907448500394821167e-04
4.240000000000000000e+02,8.911348413676023483e-04
4.250000000000000000e+02,9.066738421097397804e-04
4.260000000000000000e+02,9.180119377560913563e-04
4.270000000000000000e+02,9.302097605541348457e-04
4.280000000000000000e+02,9.179024491459131241e-04
4.290000000000000000e+02,9.009985369630157948e-04
4.300000000000000000e+02,8.977857651188969612e-04
4.310000000000000000e+02,8.882586262188851833e-04
4.320000000000000000e+02,8.891976904124021530e-04
4.330000000000000000e+02,8.853406761772930622e-04
4.340000000000000000e+02,8.895563078112900257e-04
4.350000000000000000e+02,8.974326192401349545e-04
4.360000000000000000e+02,8.934724028222262859e-04
4.370000000000000000e+02,8.893476333469152451e-04
4.380000000000000000e+02,8.812887826934456825e-04
4.390000000000000000e+02,8.899241220206022263e-04
4.400000000000000000e+02,8.902093395590782166e-04
4.410000000000000000e+02,8.885460556484758854e-04
4.420000000000000000e+02,8.904712740331888199e-04
4.430000000000000000e+02,8.898101514205336571e-04
4.440000000000000000e+02,8.859614608809351921e-04
4.450000000000000000e+02,8.908615563996136189e-04
4.460000000000000000e+02,9.082324686460196972e-04
4.470000000000000000e+02,9.150234400294721127e-04
4.480000000000000000e+02,9.215269819833338261e-04
4.490000000000000000e+02,9.161159978248178959e-04
4.500000000000000000e+02,9.120987378992140293e-04
4.510000000000000000e+02,9.072510292753577232e-04
4.520000000000000000e+02,9.107011137530207634e-04
4.530000000000000000e+02,9.138504974544048309e-04
4.540000000000000000e+02,9.127352386713027954e-04
4.550000000000000000e+02,9.086041827686131001e-04
4.560000000000000000e+02,8.963876753114163876e-04
4.570000000000000000e+02,9.007443441078066826e-04
4.580000000000000000e+02,8.941507549025118351e-04
4.590000000000000000e+02,8.829555590637028217e-04
4.600000000000000000e+02,8.826124249026179314e-04
4.610000000000000000e+02,8.930808398872613907e-04
4.620000000000000000e+02,8.909836760722100735e-04
4.630000000000000000e+02,8.965260931290686131e-04
4.640000000000000000e+02,9.184521622955799103e-04
4.650000000000000000e+02,9.088352089747786522e-04
4.660000000000000000e+02,9.056726121343672276e-04
4.670000000000000000e+02,9.023199090734124184e-04
4.680000000000000000e+02,8.928052848204970360e-04
4.690000000000000000e+02,8.864994742907583714e-04
4.700000000000000000e+02,8.954861550591886044e-04
4.710000000000000000e+02,9.029528009705245495e-04
4.720000000000000000e+02,8.883855189196765423e-04
4.730000000000000000e+02,8.737549069337546825e-04
4.740000000000000000e+02,8.717039600014686584e-04
4.750000000000000000e+02,8.890526951290667057e-04
4.760000000000000000e+02,8.781627984717488289e-04
4.770000000000000000e+02,8.835514890961349010e-04
4.780000000000000000e+02,8.899235981516540051e-04
4.790000000000000000e+02,8.711239206604659557e-04
4.800000000000000000e+02,8.713250863365828991e-04
4.810000000000000000e+02,8.936105296015739441e-04
4.820000000000000000e+02,8.984595770016312599e-04
4.830000000000000000e+02,8.931395714171230793e-04
4.840000000000000000e+02,8.865869021974503994e-04
4.850000000000000000e+02,8.946106536313891411e-04
4.860000000000000000e+02,8.939990657381713390e-04
4.870000000000000000e+02,9.029451175592839718e-04
4.880000000000000000e+02,9.109501843340694904e-04
4.890000000000000000e+02,9.247000562027096748e-04
4.900000000000000000e+02,8.992869989015161991e-04
4.910000000000000000e+02,8.912280900403857231e-04
4.920000000000000000e+02,8.914000354707241058e-04
4.930000000000000000e+02,8.849370060488581657e-04
4.940000000000000000e+02,8.828624268062412739e-04
4.950000000000000000e+02,8.853550534695386887e-04
4.960000000000000000e+02,9.013524395413696766e-04
4.970000000000000000e+02,8.969883783720433712e-04
4.980000000000000000e+02,8.995619718916714191e-04
4.990000000000000000e+02,9.029990178532898426e-04
5.000000000000000000e+02,9.093795088119804859e-04
5.010000000000000000e+02,9.131311089731752872e-04
5.020000000000000000e+02,9.069065563380718231e-04
5.030000000000000000e+02,9.156739106401801109e-04
5.040000000000000000e+02,9.163612267002463341e-04
5.050000000000000000e+02,9.287968277931213379e-04
5.060000000000000000e+02,9.170903940685093403e-04
5.070000000000000000e+02,9.187438408844172955e-04
5.080000000000000000e+02,9.028273052535951138e-04
5.090000000000000000e+02,8.905369322746992111e-04
5.100000000000000000e+02,8.866493008099496365e-04
5.110000000000000000e+02,8.854834595695137978e-04
5.120000000000000000e+02,8.978671976365149021e-04
5.130000000000000000e+02,8.927212329581379890e-04
5.140000000000000000e+02,8.977915276773273945e-04
5.150000000000000000e+02,8.811524603515863419e-04
5.160000000000000000e+02,8.808494894765317440e-04
5.170000000000000000e+02,8.871936006471514702e-04
5.180000000000000000e+02,8.913633064366877079e-04
5.190000000000000000e+02,8.949310868047177792e-04
5.200000000000000000e+02,8.897384977899491787e-04
5.210000000000000000e+02,8.983706939034163952e-04
5.220000000000000000e+02,8.954294607974588871e-04
5.230000000000000000e+02,8.908718591555953026e-04
5.240000000000000000e+02,8.902009576559066772e-04
5.250000000000000000e+02,9.067584178410470486e-04
5.260000000000000000e+02,9.185542003251612186e-04
5.270000000000000000e+02,9.293028851971030235e-04
5.280000000000000000e+02,9.185652597807347775e-04
5.290000000000000000e+02,9.008919587358832359e-04
5.300000000000000000e+02,8.968356996774673462e-04
5.310000000000000000e+02,8.888892480172216892e-04
